exerciseId,sessionId,participantId,step,time,state
1,1,1,10,8.8,2
1,1,1,1,1.1,1
1,1,1,2,2.0,1
1,1,1,3,2.7,1
1,1,1,4,3.1,1
1,1,1,5,3.5,1
1,1,1,6,4.0,1
1,1,1,7,4.4,1
1,1,1,8,4.8,1
1,1,1,9,5.3,1
1,1,1,10,5.6,2
1,1,1,1,0.7,1
1,1,1,2,1.2,1
1,1,1,3,1.7,1
1,1,1,4,2.1,1
1,1,1,5,2.6,1
1,1,1,6,4.3,1
1,1,1,7,4.9,1
1,1,1,8,5.3,1
1,1,1,9,5.7,1
1,1,1,10,6.2,2
1,1,1,1,0.8,1
1,1,1,2,1.3,1
1,1,1,4,2.5,1
1,1,1,5,2.8,1
1,1,1,6,3.3,1
1,1,1,7,3.9,1
1,1,1,8,4.4,1
1,1,1,9,5.0,1
1,1,1,10,5.8,2
1,1,1,1,0.7,1
1,1,1,2,1.0,1
1,1,1,3,1.3,1
1,1,1,4,1.7,1
1,1,1,5,2.0,1
1,1,1,6,2.3,1
1,1,1,7,2.6,1
1,1,1,8,3.0,1
1,1,1,9,3.3,1
1,1,1,10,3.6,2
1,1,1,1,0.7,1
1,1,1,2,1.0,1
1,1,1,3,1.3,1
1,1,1,4,1.7,1
1,1,1,5,2.0,1
1,1,1,6,2.3,1
1,1,1,7,2.6,1
1,1,1,8,2.9,1
1,1,1,9,3.2,1
1,1,1,10,4.6,2
1,1,1,1,0.5,1
1,1,1,2,0.8,1
1,1,1,3,1.2,1
1,1,1,4,1.5,1
1,1,1,5,2.0,1
1,1,1,6,2.3,1
1,1,1,7,2.7,1
1,1,1,8,3.0,1
1,1,1,9,3.3,1
1,1,1,10,3.9,2
1,1,1,1,2.1,1
1,1,1,2,2.4,1
1,1,1,1,0.4,1
1,1,1,2,0.8,1
1,1,1,3,1.7,1
1,1,1,4,2.3,1
1,1,1,5,3.0,1
1,1,1,6,3.5,1
1,1,1,7,4.0,1
1,1,1,8,4.5,1
1,1,1,9,4.9,1
1,1,1,10,5.5,2
1,1,1,1,0.4,1
1,1,1,2,1.0,1
1,1,1,3,1.5,1
1,1,1,4,1.9,1
1,1,1,5,2.4,1
1,1,1,6,2.9,1
1,1,1,7,6.1,1
1,1,1,8,6.8,1
1,1,1,9,7.3,1
1,1,1,10,8.0,2
1,1,1,1,6.9,1
1,1,1,2,8.8,1
1,1,1,3,9.9,1
1,1,1,4,10.4,1
1,1,1,5,10.9,1
1,1,1,6,14.4,1
1,1,1,7,15.5,1
1,1,1,8,16.1,1
1,1,1,9,16.7,1
1,1,1,10,17.3,2
1,1,1,1,1.0,1
1,1,1,2,3.0,1
1,1,1,3,3.9,1
1,1,1,4,5.0,1
1,1,1,5,5.7,1
1,1,1,6,6.2,1
1,1,1,7,6.8,1
1,1,1,8,7.2,1
1,1,1,9,7.6,1
